"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","1981-1725","Pepsi Grand Slam","Clay",4,"A",19810213,1,100282,NA,"","Guillermo Vilas","L",180,"ARG",28.4928131417,100342,NA,"","Vitas Gerulaitis","R",183,"USA",26.5544147844,"6-3 2-6 6-4",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,8,NA
"2","1981-1725","Pepsi Grand Slam","Clay",4,"A",19810213,2,100581,NA,"","John McEnroe","L",180,"USA",21.993155373,100360,NA,"","Brian Teacher","R",190,"USA",26.1437371663,"6-3 6-1",3,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA
"3","1981-1725","Pepsi Grand Slam","Clay",4,"A",19810213,3,100581,NA,"","John McEnroe","L",180,"USA",21.993155373,100282,NA,"","Guillermo Vilas","L",180,"ARG",28.4928131417,"6-7 6-4 6-0",3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA
"4","1981-204","Vina del Mar","Clay",32,"A",19810126,1,100232,1,"","Eddie Dibbs","R",170,"USA",29.9247091034,100394,NA,"","Angel Gimenez","R",163,"ESP",25.2977412731,"6-2 7-5",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,83,NA
"5","1981-204","Vina del Mar","Clay",32,"A",19810126,2,100319,NA,"","Rick Fagel","R",180,"USA",27.1594798084,100468,NA,"","Dominique Bedel","R",185,"FRA",23.9315537303,"6-1 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1981-204","Vina del Mar","Clay",32,"A",19810126,3,100711,NA,"","Pedro Rebolledo","R",170,"CHI",20.1095140315,100640,NA,"","Stefan Simonsson","R",175,"SWE",21.0595482546,"6-0 6-0",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1981-204","Vina del Mar","Clay",32,"A",19810126,4,100538,NA,"Q","Alejandro Gattiker","R",180,"ARG",22.7296372348,100119,7,"","Ilie Nastase","R",183,"ROU",34.5242984257,"7-5 3-6 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
"8","1981-204","Vina del Mar","Clay",32,"A",19810126,5,100395,3,"","Victor Pecci","R",193,"PAR",25.2840520192,100336,NA,"","Guillermo Aubone","L",NA,"ARG",26.636550308,"6-4 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA
"9","1981-204","Vina del Mar","Clay",32,"A",19810126,6,100346,NA,"","Paul Kronk","R",NA,"AUS",26.3463381246,100764,NA,"","Gabriel Urpi","R",173,"ESP",19.446954141,"6-3 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA
"10","1981-204","Vina del Mar","Clay",32,"A",19810126,7,100384,NA,"Q","Alejandro Cortes","R",NA,"COL",25.5386721424,100506,NA,"","Howard Schoenfield","R",NA,"USA",23.1978097194,"6-0 4-1 RET",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
